,name,filedir,genre,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var
0,6448,../Data/fmaxsmallsortedwavs/Hip-Hop/6448.wav,Hip-Hop,0.33903113,0.09894789,0.06255087,0.00097511726,1724.1621248867566,269274.04239599983,1939.3716474850896,139916.86385034324,3366.8653589943447,1721910.6389608139,0.08177710206399845,0.0013163207222456938,-1.6645802e-07,0.0019380028,-51.18729981401338,160.87832074599854,117.45383522727273,-217.10786,2078.836,114.88851,658.5291,-23.22229,578.0589,20.135553,329.13712,1.4274323,401.86566,17.22833,249.70374,-0.049463212,175.94548,2.570227,170.59233,-0.943475,138.98415,3.9189866,87.490005,-5.3131247,148.3644,8.450674,111.939896,-5.909535,89.91048,4.180849,75.04067,-3.118454,90.74362,3.9738772,69.81068,-9.952841,64.45249,-1.0216136,48.038284,-10.873169,67.73961,-3.04009,75.20114
0,11299,../Data/fmaxsmallsortedwavs/Hip-Hop/11299.wav,Hip-Hop,0.45365065,0.0854865,0.2009766,0.0030212624,3214.1945675369725,932461.3090540818,2905.5119340214706,96015.23788637077,6773.409984538391,1761057.384204886,0.1781489034663052,0.008876598046804435,2.3289169e-05,0.01224046,-38.551990042769454,100.4407182676046,92.28515625,-30.588049,2100.4443,65.415535,899.6429,15.949267,528.3709,30.005707,265.31467,6.2012186,253.17453,13.6981325,149.84627,-10.008751,111.80247,12.975092,85.41472,-6.0544515,95.406296,6.363868,73.51395,-1.0678488,63.717716,8.771477,53.82698,-10.5796,60.13212,8.051567,52.449154,-8.247577,43.76837,8.007186,38.698307,-8.880376,33.716946,3.3087363,41.953102,-6.5588026,42.983257,4.845331,50.01584
0,11298,../Data/fmaxsmallsortedwavs/Hip-Hop/11298.wav,Hip-Hop,0.45953497,0.101328194,0.24943939,0.015707405,1703.8450231295753,459130.40289701516,2134.7379998712345,172000.82516783828,3747.202670380277,2431824.087491232,0.055339550251742836,0.0020063789148038083,0.0002566085,0.03412648,-50.51275898166068,193.7016611615651,112.34714673913044,-106.09801,7461.065,105.951294,595.9602,4.335585,834.8002,36.692085,506.97623,-0.26539087,412.77063,16.446016,232.68036,-6.159683,159.02127,8.310907,142.03534,-0.39565077,173.97241,9.606935,123.77597,-4.0532603,114.90784,3.8352613,88.88929,-6.652928,85.04557,3.5606036,78.37364,-5.386807,80.56349,4.259642,64.14048,-3.4196553,76.514244,6.78938,82.20949,0.44790515,101.518326,8.233701,74.47731
0,10192,../Data/fmaxsmallsortedwavs/Hip-Hop/10192.wav,Hip-Hop,0.45471296,0.094170965,0.14037982,0.003525278,2474.523077159483,1052038.4890452668,2537.0490257867523,292719.56082634884,5263.792337880035,3902288.4167835396,0.10270888301219984,0.006060752610327081,6.3844805e-06,0.011344452,-49.66005264425995,144.25088208080842,135.99917763157896,-129.46545,3615.242,75.89759,1794.1018,-1.7523295,873.6139,28.773808,549.4701,9.382605,326.0615,17.133682,215.25073,1.1602234,192.46051,9.037604,202.9447,-4.355763,109.66085,11.03375,149.15399,1.0892348,103.32021,11.469088,98.9942,0.11524098,76.79533,10.843039,77.47367,-2.77231,64.06304,6.8456254,85.215385,-6.3536806,87.07948,3.6451607,60.5259,-6.3077517,56.823975,3.7280164,76.17596
0,676,../Data/fmaxsmallsortedwavs/Hip-Hop/676.wav,Hip-Hop,0.34284163,0.09526207,0.22587353,0.0032687401,1936.1259139505783,740203.9230612015,2392.119406200259,268075.2870201403,4385.351070814775,4299216.746345532,0.06737373523431449,0.0022178759146132343,-5.3491685e-06,0.032576095,-44.20526268647733,165.4349876358714,129.19921875,-105.69342,2496.2727,106.610245,1096.1187,24.02276,961.27826,28.678,345.09055,4.334995,243.22638,17.547396,222.66458,-2.0648055,213.43951,28.330317,142.12602,-14.086712,158.9895,4.4597015,86.08603,-10.871867,137.81395,0.6278005,77.53319,-1.3967576,74.43659,5.412997,69.19958,-5.824182,54.673405,8.735575,58.575462,-7.2919083,55.750797,4.094885,74.196014,-0.70876247,61.271397,0.95067227,67.529686
0,4688,../Data/fmaxsmallsortedwavs/Hip-Hop/4688.wav,Hip-Hop,0.42222577,0.08464694,0.14428607,0.0008308892,2309.12767060024,458484.0389422421,2160.32322112064,164925.692631461,4671.97231637906,1591976.379335779,0.10493892896848414,0.0014594799113140896,8.7130826e-07,0.012756086,-39.17876439252563,80.53333528862272,161.4990234375,-75.409225,732.03345,92.095245,731.2559,-33.458115,399.44336,46.415436,184.36142,-1.5421208,130.65201,25.60717,56.766823,-4.3690815,69.77322,11.911269,58.188057,3.0982683,39.745766,6.843161,53.324295,1.3382635,49.84744,9.535176,46.549164,5.9781857,54.242786,8.956053,39.043015,-0.32198253,39.420704,7.8939185,30.80343,-0.09048431,52.36757,3.2128778,24.137665,-5.623888,35.753166,10.1268,57.72669
0,7481,../Data/fmaxsmallsortedwavs/Hip-Hop/7481.wav,Hip-Hop,0.3094054,0.0889722,0.16145073,0.005432393,2427.294217504717,927088.76036894,2110.9658512444494,339546.0061040838,4677.992471920991,3349421.488836199,0.12986768372385749,0.004503749999706484,1.1435351e-07,0.008561823,-41.86528648843577,165.16027962580839,161.4990234375,-81.846085,3068.6091,96.621475,1869.752,-31.35998,951.1162,25.243067,561.28186,-20.04611,239.64143,4.3723903,202.23778,-11.89705,163.1202,1.116079,111.08353,-9.1531515,118.38842,4.9301004,106.39676,-7.632908,102.69392,4.2305093,71.137886,-8.19017,96.71137,1.502899,83.93185,-4.690048,62.984177,5.5109506,54.82897,-5.991451,51.535995,-2.0482206,52.324955,-7.454299,78.948044,1.7271162,77.97864
0,11767,../Data/fmaxsmallsortedwavs/Hip-Hop/11767.wav,Hip-Hop,0.58837795,0.063074835,0.17724991,0.0043208147,2565.9203181012485,1216667.8306309255,2691.8603252353764,195066.49114710433,5702.737760063662,3624137.1134434543,0.1100213769606894,0.006564200277194328,-2.5194297e-06,0.012231712,-43.998461775435885,173.66308295756738,95.703125,-130.46251,9587.115,70.46262,1534.3597,36.604958,822.3847,48.834297,272.34888,0.9430383,263.1872,33.31489,172.13931,-3.098145,88.287796,19.518822,167.18365,-1.3524977,77.33247,13.105566,59.007904,-0.93184465,78.91812,11.321888,53.740196,-2.0364144,48.410515,9.4010725,59.657787,-8.892453,57.53601,6.6106067,51.50581,-5.1334004,36.9661,5.013997,42.002457,-4.1552825,54.222267,3.3978214,55.053204
0,11766,../Data/fmaxsmallsortedwavs/Hip-Hop/11766.wav,Hip-Hop,0.37093988,0.09203476,0.13445586,0.0019202544,2403.0345590195175,786525.9385924947,2581.854876436753,185027.92754169903,5332.461739325136,3378093.8403011607,0.07617943938807126,0.0020145867039237006,1.3830452e-06,0.012210601,-47.761390342370845,172.18502643147315,83.35433467741936,-147.30362,6051.164,77.2856,735.5891,19.017948,605.6511,38.928726,256.19864,-3.3777006,393.57544,15.057919,178.50629,-11.843517,201.22382,12.538408,118.13582,-5.3902993,139.42021,9.434035,98.916725,-6.0886364,79.807434,12.725941,78.31454,1.230055,83.56269,17.469578,72.13003,2.4919267,70.81371,11.12433,69.846695,-2.516208,86.95112,9.393126,93.85228,1.7505401,76.23591,10.093602,83.83521
0,5268,../Data/fmaxsmallsortedwavs/Hip-Hop/5268.wav,Hip-Hop,0.4457373,0.09468694,0.15432812,0.005212947,2462.3957861514405,1308039.005132318,2457.292475422532,262213.79891733517,5078.007997827508,4055728.192999031,0.09783514777788536,0.006789285337159832,7.626339e-05,0.01248689,-48.2598798101953,164.68269250083196,151.99908088235293,-124.087944,4761.8125,74.07961,1499.1093,0.78102344,1144.434,40.876602,361.62073,2.6534667,370.65903,15.937818,248.4626,-0.8741182,175.48856,14.869884,98.736046,-0.09822679,85.46025,7.049385,74.22771,-2.1929638,82.99017,7.4895325,81.892746,-4.161424,68.668655,8.209129,73.39875,-3.5307894,64.65185,6.7659564,44.185787,-5.2475915,47.858128,4.8733664,49.980453,-4.3163676,57.69139,4.681708,50.885445
